session,new_class_id,class_name,shot_index,image_path
1,62,flower_063,0,flowers-102/jpg/image_05892.jpg
1,62,flower_063,1,flowers-102/jpg/image_05861.jpg
1,62,flower_063,2,flowers-102/jpg/image_05868.jpg
1,63,flower_064,0,flowers-102/jpg/image_06139.jpg
1,63,flower_064,1,flowers-102/jpg/image_06099.jpg
1,63,flower_064,2,flowers-102/jpg/image_06120.jpg
1,64,flower_065,0,flowers-102/jpg/image_03243.jpg
1,64,flower_065,1,flowers-102/jpg/image_03183.jpg
1,64,flower_065,2,flowers-102/jpg/image_03256.jpg
1,65,flower_066,0,flowers-102/jpg/image_05578.jpg
1,65,flower_066,1,flowers-102/jpg/image_05524.jpg
1,65,flower_066,2,flowers-102/jpg/image_05567.jpg
1,66,flower_067,0,flowers-102/jpg/image_07080.jpg
1,66,flower_067,1,flowers-102/jpg/image_07051.jpg
1,66,flower_067,2,flowers-102/jpg/image_07073.jpg
2,67,flower_068,0,flowers-102/jpg/image_05917.jpg
2,67,flower_068,1,flowers-102/jpg/image_05948.jpg
2,67,flower_068,2,flowers-102/jpg/image_05926.jpg
2,68,flower_069,0,flowers-102/jpg/image_05971.jpg
2,68,flower_069,1,flowers-102/jpg/image_05996.jpg
2,68,flower_069,2,flowers-102/jpg/image_05961.jpg
2,69,flower_070,0,flowers-102/jpg/image_05320.jpg
2,69,flower_070,1,flowers-102/jpg/image_05296.jpg
2,69,flower_070,2,flowers-102/jpg/image_05331.jpg
2,70,flower_071,0,flowers-102/jpg/image_04543.jpg
2,70,flower_071,1,flowers-102/jpg/image_04546.jpg
2,70,flower_071,2,flowers-102/jpg/image_04496.jpg
2,71,flower_072,0,flowers-102/jpg/image_03569.jpg
2,71,flower_072,1,flowers-102/jpg/image_03628.jpg
2,71,flower_072,2,flowers-102/jpg/image_03603.jpg
3,72,flower_073,0,flowers-102/jpg/image_00433.jpg
3,72,flower_073,1,flowers-102/jpg/image_00317.jpg
3,72,flower_073,2,flowers-102/jpg/image_00302.jpg
3,73,flower_074,0,flowers-102/jpg/image_01208.jpg
3,73,flower_074,1,flowers-102/jpg/image_01197.jpg
3,73,flower_074,2,flowers-102/jpg/image_01267.jpg
3,74,flower_075,0,flowers-102/jpg/image_02126.jpg
3,74,flower_075,1,flowers-102/jpg/image_02119.jpg
3,74,flower_075,2,flowers-102/jpg/image_02123.jpg
3,75,flower_076,0,flowers-102/jpg/image_02505.jpg
3,75,flower_076,1,flowers-102/jpg/image_02521.jpg
3,75,flower_076,2,flowers-102/jpg/image_02527.jpg
3,76,flower_077,0,flowers-102/jpg/image_00218.jpg
3,76,flower_077,1,flowers-102/jpg/image_00170.jpg
3,76,flower_077,2,flowers-102/jpg/image_00135.jpg
4,77,flower_078,0,flowers-102/jpg/image_01837.jpg
4,77,flower_078,1,flowers-102/jpg/image_01879.jpg
4,77,flower_078,2,flowers-102/jpg/image_01866.jpg
4,78,flower_079,0,flowers-102/jpg/image_06707.jpg
4,78,flower_079,1,flowers-102/jpg/image_06705.jpg
4,78,flower_079,2,flowers-102/jpg/image_06708.jpg
4,79,flower_080,0,flowers-102/jpg/image_01966.jpg
4,79,flower_080,1,flowers-102/jpg/image_02060.jpg
4,79,flower_080,2,flowers-102/jpg/image_01967.jpg
4,80,flower_081,0,flowers-102/jpg/image_00788.jpg
4,80,flower_081,1,flowers-102/jpg/image_00901.jpg
4,80,flower_081,2,flowers-102/jpg/image_00905.jpg
4,81,flower_082,0,flowers-102/jpg/image_01690.jpg
4,81,flower_082,1,flowers-102/jpg/image_01610.jpg
4,81,flower_082,2,flowers-102/jpg/image_01597.jpg
5,82,flower_083,0,flowers-102/jpg/image_01730.jpg
5,82,flower_083,1,flowers-102/jpg/image_01791.jpg
5,82,flower_083,2,flowers-102/jpg/image_01735.jpg
5,83,flower_084,0,flowers-102/jpg/image_02602.jpg
5,83,flower_084,1,flowers-102/jpg/image_02632.jpg
5,83,flower_084,2,flowers-102/jpg/image_02607.jpg
5,84,flower_085,0,flowers-102/jpg/image_04809.jpg
5,84,flower_085,1,flowers-102/jpg/image_04814.jpg
5,84,flower_085,2,flowers-102/jpg/image_04824.jpg
5,85,flower_086,0,flowers-102/jpg/image_02898.jpg
5,85,flower_086,1,flowers-102/jpg/image_02883.jpg
5,85,flower_086,2,flowers-102/jpg/image_02875.jpg
5,86,flower_087,0,flowers-102/jpg/image_05496.jpg
5,86,flower_087,1,flowers-102/jpg/image_05484.jpg
5,86,flower_087,2,flowers-102/jpg/image_05511.jpg
6,87,flower_088,0,flowers-102/jpg/image_00475.jpg
6,87,flower_088,1,flowers-102/jpg/image_00548.jpg
6,87,flower_088,2,flowers-102/jpg/image_00570.jpg
6,88,flower_089,0,flowers-102/jpg/image_00651.jpg
6,88,flower_089,1,flowers-102/jpg/image_00768.jpg
6,88,flower_089,2,flowers-102/jpg/image_00775.jpg
6,89,flower_090,0,flowers-102/jpg/image_04431.jpg
6,89,flower_090,1,flowers-102/jpg/image_04423.jpg
6,89,flower_090,2,flowers-102/jpg/image_04444.jpg
6,90,flower_091,0,flowers-102/jpg/image_04841.jpg
6,90,flower_091,1,flowers-102/jpg/image_04895.jpg
6,90,flower_091,2,flowers-102/jpg/image_04855.jpg
6,91,flower_092,0,flowers-102/jpg/image_03035.jpg
6,91,flower_092,1,flowers-102/jpg/image_03065.jpg
6,91,flower_092,2,flowers-102/jpg/image_03072.jpg
7,92,flower_093,0,flowers-102/jpg/image_07302.jpg
7,92,flower_093,1,flowers-102/jpg/image_06039.jpg
7,92,flower_093,2,flowers-102/jpg/image_06044.jpg
7,93,flower_094,0,flowers-102/jpg/image_07397.jpg
7,93,flower_094,1,flowers-102/jpg/image_07412.jpg
7,93,flower_094,2,flowers-102/jpg/image_07443.jpg
7,94,flower_095,0,flowers-102/jpg/image_07490.jpg
7,94,flower_095,1,flowers-102/jpg/image_07492.jpg
7,94,flower_095,2,flowers-102/jpg/image_07546.jpg
7,95,flower_096,0,flowers-102/jpg/image_07633.jpg
7,95,flower_096,1,flowers-102/jpg/image_07625.jpg
7,95,flower_096,2,flowers-102/jpg/image_07613.jpg
7,96,flower_097,0,flowers-102/jpg/image_07729.jpg
7,96,flower_097,1,flowers-102/jpg/image_07716.jpg
7,96,flower_097,2,flowers-102/jpg/image_07695.jpg
8,97,flower_098,0,flowers-102/jpg/image_07784.jpg
8,97,flower_098,1,flowers-102/jpg/image_07756.jpg
8,97,flower_098,2,flowers-102/jpg/image_07806.jpg
8,98,flower_099,0,flowers-102/jpg/image_07892.jpg
8,98,flower_099,1,flowers-102/jpg/image_07862.jpg
8,98,flower_099,2,flowers-102/jpg/image_07846.jpg
8,99,flower_100,0,flowers-102/jpg/image_07921.jpg
8,99,flower_100,1,flowers-102/jpg/image_07913.jpg
8,99,flower_100,2,flowers-102/jpg/image_07899.jpg
8,100,flower_101,0,flowers-102/jpg/image_07968.jpg
8,100,flower_101,1,flowers-102/jpg/image_07953.jpg
8,100,flower_101,2,flowers-102/jpg/image_07955.jpg
8,101,flower_102,0,flowers-102/jpg/image_08023.jpg
8,101,flower_102,1,flowers-102/jpg/image_08007.jpg
8,101,flower_102,2,flowers-102/jpg/image_08041.jpg
