image_id,new_class_id,class_name,original_class_id,path,source_path,original_path,side,source
0,0,class_000,0,images/class_000/img_000000_bottom_orig000.jpg,images/class_000/img_000000_bottom.jpg,raw/Pill_Images/0/bottom/Customer/0_bottom_22.jpg,bottom,Customer
1,0,class_000,0,images/class_000/img_000001_bottom_orig000.jpg,images/class_000/img_000001_bottom.jpg,raw/Pill_Images/0/bottom/Customer/0_bottom_23.jpg,bottom,Customer
2,0,class_000,0,images/class_000/img_000002_bottom_orig000.jpg,images/class_000/img_000002_bottom.jpg,raw/Pill_Images/0/bottom/Customer/0_bottom_24.jpg,bottom,Customer
3,0,class_000,0,images/class_000/img_000003_bottom_orig000.jpg,images/class_000/img_000003_bottom.jpg,raw/Pill_Images/0/bottom/Customer/0_bottom_25.jpg,bottom,Customer
4,0,class_000,0,images/class_000/img_000004_bottom_orig000.jpg,images/class_000/img_000004_bottom.jpg,raw/Pill_Images/0/bottom/Customer/0_bottom_26.jpg,bottom,Customer
5,0,class_000,0,images/class_000/img_000005_bottom_orig000.jpg,images/class_000/img_000005_bottom.jpg,raw/Pill_Images/0/bottom/Customer/0_bottom_27.jpg,bottom,Customer
6,0,class_000,0,images/class_000/img_000006_bottom_orig000.jpg,images/class_000/img_000006_bottom.jpg,raw/Pill_Images/0/bottom/Customer/0_bottom_28.jpg,bottom,Customer
7,0,class_000,0,images/class_000/img_000007_bottom_orig000.jpg,images/class_000/img_000007_bottom.jpg,raw/Pill_Images/0/bottom/Customer/0_bottom_29.jpg,bottom,Customer
8,0,class_000,0,images/class_000/img_000008_bottom_orig000.jpg,images/class_000/img_000008_bottom.jpg,raw/Pill_Images/0/bottom/Customer/0_bottom_30.jpg,bottom,Customer
9,0,class_000,0,images/class_000/img_000009_bottom_orig000.jpg,images/class_000/img_000009_bottom.jpg,raw/Pill_Images/0/bottom/Customer/0_bottom_31.jpg,bottom,Customer
